Date,Open,High,Low,Close,Volume
20240419,422.22,422.75,413.07,414.65,505452
20240422,417.31,421.18,413.94,418.82,309249
20240423,420.76,426.28,420.42,425.07,294289
20240424,428.2,429.73,424.2,426.51,314572
20240425,419.24,425.32,418.14,424.45,382760
20240426,427.62,432.55,426.92,431.0,293476
20240429,433.12,433.76,429.98,432.75,220620
20240430,431.15,432.56,424.51,424.59,273546
20240501,423.15,430.14,420.66,421.52,379842
20240502,425.29,427.81,420.63,426.9,248540
20240503,434.44,436.48,432.62,435.48,303205
20240506,437.3,440.34,436.52,440.25,218154
20240507,440.7,441.97,439.58,440.32,204432
20240508,437.66,441.48,437.55,440.06,179518
20240509,440.33,441.6,438.46,441.02,184104
20240510,442.52,444.31,440.49,442.06,202724
20240513,443.99,444.09,441.65,443.08,150112
20240514,442.65,446.47,442.46,445.93,255470
20240515,448.43,453.15,446.9,452.9,273540
20240516,452.71,454.69,451.81,451.98,243373
20240517,452.11,452.72,449.53,451.76,208991
20240520,451.98,455.58,451.78,454.91,176333
20240521,453.02,455.99,452.84,455.8,138212
20240522,456.06,456.82,453.08,455.71,155395
20240523,460.57,460.58,451.85,453.66,273649
20240524,455.28,459.23,454.58,457.95,175311
20240528,459.18,459.74,456.69,459.68,186404
20240529,455.48,458.24,455.34,456.44,164351
20240530,455.51,455.64,450.21,451.55,189542
20240531,451.79,452.48,443.05,450.71,343075
20240603,454.57,455.58,447.9,453.13,228685
20240604,452.85,455.58,451.13,454.37,170661
20240605,457.98,463.61,456.77,463.53,232706
20240606,464.22,464.54,462.19,463.37,147329
20240607,463.0,465.74,461.84,462.96,150058
20240610,461.82,465.19,461.53,464.83,144113
20240611,463.56,468.14,462.03,468.02,162016
20240612,471.99,476.5,471.29,474.15,233105
20240613,477.72,478.39,474.42,476.72,175641
20240614,476.52,479.26,476.05,479.19,153395
20240617,479.46,486.86,478.14,485.06,240638
20240618,485.0,485.9,483.43,485.21,158495
20240620,486.42,486.84,479.62,481.47,227811
20240621,481.19,482.54,478.67,480.18,188868
20240624,478.18,479.93,473.82,473.96,232605
20240625,476.07,479.68,475.12,479.38,159947
20240626,478.55,480.92,478.13,480.37,137424
20240627,480.13,483.1,479.3,481.61,138634
20240628,482.41,487.2,478.46,479.11,227542
20240701,480.05,482.49,476.25,481.92,170794
20240702,480.41,487.04,480.28,486.98,162604
20240703,486.22,491.17,486.2,491.04,127992
20240705,491.9,496.6,491.59,496.16,187258
20240708,496.53,497.9,495.5,497.34,144178
20240709,498.87,500.0,496.24,497.77,164595
20240710,499.71,503.52,498.39,502.96,179807
20240711,503.07,503.28,490.72,491.93,344858
20240712,492.51,499.62,492.04,494.82,239078
20240715,496.61,501.01,494.09,496.15,222751
20240716,497.62,498.44,493.15,496.34,173341
20240717,488.26,488.8,481.7,481.77,328829
